Unnamed: 0,simulation_id,run_date,initial_portfolio_value,num_simulations,returns,volatility,sharpe_ratio,prob_loss,VaR_95,weights
21,sim_54f01347-7b10-4a18-aadf-62e86830898c,2025-06-01,100000,1000,0.5431062707294656,0.6488530631528601,0.8216132449757331,0.157,-0.1989201570308957,"{'GAP': 0.022349748170480754, 'GLD': 0.098209552231699, 'GM': 0.45620988403579804, 'JPM': 0.01605055113718782, 'META': 0.05184095003770575, 'NVDA': 0.10891997468590357, 'PLTR': 0.2364657517872401, 'SPY': 0.00995358791398495}"
22,sim_04add221-e5a5-4470-bc1e-d0eb6634ed0e,2025-06-01,100000,1000,0.2897357305809641,0.3480164071949964,0.8038004093991634,0.21,-0.1823099031958917,"{'GAP': 0.006074328975960584, 'GLD': 0.30142404109278625, 'GM': 0.059538176536179654, 'JPM': 0.019133102795465786, 'META': 0.45531522648235917, 'NVDA': 0.06070716189648478, 'PLTR': 0.001537492121925917, 'SPY': 0.09627047009883774}"
23,sim_16f92960-099f-41fd-ae87-b356bc43aaa7,2025-06-01,100000,1000,0.4335178453099201,0.5054877487176846,0.837839980067361,0.177,-0.217816114229567,"{'GAP': 0.3826216585790705, 'GLD': 0.06026546240198902, 'GM': 0.00809732963794347, 'JPM': 0.18469010583331963, 'META': 0.1009254452299948, 'NVDA': 0.007277328350919989, 'PLTR': 0.12633425881764562, 'SPY': 0.12978841114911718}"
24,sim_fad30207-54f1-4a12-8fbc-6523338747f0,2025-06-01,100000,1000,0.2696254387982092,0.3091924839062163,0.8396887127339042,0.185,-0.1572669866682315,"{'GAP': 0.08257914087408275, 'GLD': 0.1782001001512447, 'GM': 0.19433166053649784, 'JPM': 0.07074875932475064, 'META': 0.27699156678433695, 'NVDA': 0.007788378951916412, 'PLTR': 0.009398893643393342, 'SPY': 0.17996149973377723}"
25,sim_fe6ff1a8-db06-4cbe-b16e-7fdad7707861,2025-06-01,100000,1000,0.3191087097544612,0.4640163852562747,0.6661590400169629,0.259,-0.2781065735404552,"{'GAP': 0.33363806574443694, 'GLD': 0.019727275624419487, 'GM': 0.44183926167118287, 'JPM': 0.05761681469725783, 'META': 0.045237430844675804, 'NVDA': 0.013635361032123823, 'PLTR': 0.03718929546718849, 'SPY': 0.05111649491871483}"
26,sim_db62aaf0-4250-41be-bba0-871b83f3f402,2025-06-01,100000,1000,0.3219480991018932,0.2954064534579267,1.0559962230016835,0.127,-0.0845994144862953,"{'GAP': 0.05165176721716938, 'GLD': 0.19780742961853473, 'GM': 0.06039901045407416, 'JPM': 0.31928599233684, 'META': 0.17774346688198442, 'NVDA': 0.017968415247838945, 'PLTR': 0.05067458149048193, 'SPY': 0.12446933675307645}"
27,sim_8ff49a3d-475c-473a-ba1f-6ce581eb7199,2025-06-01,100000,1000,0.4677940333057239,0.4420445755645278,1.0356286641931591,0.098,-0.1009518011208825,"{'GAP': 0.012025219843070757, 'GLD': 0.06782412133494727, 'GM': 0.17680017761404265, 'JPM': 0.3617823161109115, 'META': 0.12086515646151372, 'NVDA': 0.1160032984649066, 'PLTR': 0.12431738854841021, 'SPY': 0.020382321622197563}"
28,sim_e52be127-f711-4f49-90ee-19069726901c,2025-06-01,100000,1000,0.4435557422926106,0.4548131076325663,0.9532613177078242,0.13,-0.1416070776963081,"{'GAP': 0.03474166580582265, 'GLD': 0.05155665344457233, 'GM': 0.020752533837433647, 'JPM': 0.28224516506921277, 'META': 0.08507817890993091, 'NVDA': 0.2610312318362079, 'PLTR': 0.015023445858990467, 'SPY': 0.24957112523782943}"
29,sim_e49e0fb2-b9e2-4c2d-808b-a8766ad39af0,2025-06-01,100000,1000,0.3909463134625318,0.4180122987564055,0.9113280030177444,0.115,-0.0933991913333008,"{'GAP': 0.006727545033986107, 'GLD': 0.3163932373094923, 'GM': 0.04863064768933321, 'JPM': 0.081757165245784, 'META': 0.2005838395923847, 'NVDA': 0.061483481544309077, 'PLTR': 0.10410422666462908, 'SPY': 0.1803198569200815}"
30,sim_ce0775a3-ed20-4d08-b145-14a69fd96b1c,2025-06-01,100000,1000,0.3407155651771522,0.3416198608510913,0.9680806155509436,0.156,-0.1213053657328603,"{'GAP': 0.16199728510827419, 'GLD': 0.12576201665110212, 'GM': 0.11771048545781408, 'JPM': 0.359219036965977, 'META': 0.16242837706521404, 'NVDA': 0.03126868074471128, 'PLTR': 0.025355075227883668, 'SPY': 0.016259042779023635}"
